anime_id,name,genre,type,episodes,rating,members
5365,Tsumiki no Ie,Drama,Movie,1,8.27,45189
6211,Tokyo Magnitude 8.0,Drama,TV,11,8.19,121349
7711,Karigurashi no Arrietty,Fantasy,Movie,1,8.1,97910
29093,Grisaia no Meikyuu: Caprice no Mayu 0,Drama,Special,1,8.05,70039
17949,The Everlasting Guilty Crown,Music,Music,1,8,11663
30745,Kyoukai no Kanata Movie: I&#039;ll Be Here - Kako-hen - Yakusoku no Kizuna,Music,Special,1,7.92,10306
1520,Black Jack,Drama,OVA,12,7.88,14414
33994,Servamp Specials,Comedy,Special,3,7.88,5973
2405,Hello! Lady Lynn,Drama,TV,36,7.85,1757
33082,Kingsglaive: Final Fantasy XV,Action,Movie,1,7.83,15508
1015,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,Comedy,Special,1,7.78,51688
2213,Black Jack (TV),Drama,TV,61,7.74,15552
10568,Kamisama no Memochou,Mystery,TV,12,7.7,130502
6172,Layton Kyouju to Eien no Utahime,Mystery,Movie,1,7.69,12867
2424,Cardcaptor Sakura Specials,Comedy,Special,3,7.62,18604
9930,Snow Halation,Music,Music,1,7.61,8731
5998,Hottarake no Shima: Haruka to Mahou no Kagami,Fantasy,Movie,1,7.6,6517
22419,Acchi Kocchi,Dementia,Movie,1,7.59,3433
9023,Katekyo Hitman Reborn!: Mr. Rebokku no Ciao Ciao Interview,Comedy,Special,3,7.59,12153
10445,Perfect Day,Music,Music,1,7.59,7743
6399,Higashi no Eden: Falling Down,Music,Music,1,7.56,9881
5710,Keroro Gunsou Movie 4: Gekishin Dragon Warriors de Arimasu!,Comedy,Movie,1,7.56,2048
5291,Hokuto no Ken Zero: Kenshirou Den,Martial Arts,Movie,1,7.55,4278
2518,Masuda Kousuke Gekijou Gag Manga Biyori 2,Comedy,TV,12,7.55,1846
24459,Tales of Zestiria: Doushi no Yoake,Fantasy,Special,1,7.52,23484
2672,Doraemon Movie 05: Nobita no Makai Daibouken,Fantasy,Movie,1,7.51,1321
2954,Maria-sama ga Miteru 3rd Specials,Comedy,Special,5,7.51,5072
9340,Cheburashka,Comedy,Movie,1,7.5,545
1684,Dotto Koni-chan,Comedy,TV,26,7.5,1397
13429,Sakasama no Patema: Beginning of the Day,Sci-Fi,Special,4,7.5,16933
5947,Tengen Toppa Gurren Lagann Movie: Lagann-hen Special - Viral no Amai Yume,Comedy,OVA,1,7.5,19219
3268,Mai-Otome 0: S.ifr,Sci-Fi,OVA,3,7.49,11171
6896,Pandora Hearts Specials,Comedy,Special,9,7.49,32103
30187,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Mystery,TV,12,7.49,99665
10629,Tibet Inu Monogatari,Adventure,Movie,1,7.49,2647
31324,Grisaia no Meikyuu Special,Ecchi,Special,1,7.47,16648
10050,Macross F Music Clip Shuu: Nyankuri,Music,Music,1,7.47,3010
1078,Cardcaptor Sakura: Leave It to Kero-chan,Comedy,Movie,1,7.46,20410
5273,Miracle Giants Doumu-kun,Sports,TV,49,7.46,680
1373,Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,Drama,Special,4,7.45,3174
27957,Steins;Gate: Soumei Eichi no Cognitive Computing,Comedy,ONA,4,7.45,34426
8022,Tegamibachi Gakuen,Comedy,Special,25,7.44,6649
485,Damekko Doubutsu,Comedy,TV,26,7.43,8024
6401,ef: A Tale of Melodies. - Prologue,Music,Special,1,7.43,13745
13469,Hyouka: Motsubeki Mono wa,Slice of Life,OVA,1,7.43,68823
32953,Koi ni Naritai Aquarium,Music,Music,1,7.43,1683
1983,Black Jack: Futari no Kuroi Isha,Drama,Movie,1,7.42,2634
1030,Heisei Tanuki Gassen Ponpoko,Kids,Movie,1,7.42,34263
6299,Maria-sama ga Miteru 4th Specials,Comedy,Special,11,7.41,3659
7761,Masuda Kousuke Gekijou Gag Manga Biyori +,Comedy,TV,12,7.41,1123
4921,Ramayana: The Legend of Prince Rama,Adventure,Movie,1,7.4,517
14951,Wonderful Rush,Music,Music,1,7.4,6807
2675,Doraemon Movie 17: Nobita to Ginga Express,Fantasy,Movie,1,7.39,1342
1521,Black Jack the Movie,Drama,Movie,1,7.38,6404
2660,Doraemon: Nobita&#039;s the Night Before a Wedding,Fantasy,Movie,1,7.38,983
33190,Planetarian: Hoshi no Hito,Magic,Movie,1,7.38,9461
10448,Rain Town,Drama,ONA,1,7.38,12489
22013,Ghost in the Shell: Nyuumon Arise,Comedy,TV,26,7.37,4636
8134,"Keroro Gunsou Movie 5: Tanjou! Kyuukyoku Keroro, Kiseki no Jikuu-jima, de arimasu!!",Comedy,Movie,1,7.37,1577
9888,Shinryaku! Ika Musume Specials,Comedy,Special,2,7.37,14497
31780,Kimi no Kokoro wa Kagayaiteru kai?,Music,Music,1,7.35,2762
4056,Masuda Kousuke Gekijou Gag Manga Biyori 3,Comedy,TV,12,7.36,1615
9925,Amagami SS: Tachibana Miya-hen - Imouto,School,Special,1,7.35,31019
30206,Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!,Comedy,Special,1,7.35,30342
11033,"Natsu-iro Egao de 1, 2, Jump!",Music,Music,1,7.34,6939
12669,Amagami SS+ Plus Specials,Romance,Special,6,7.33,17764
24429,Daze,Music,Music,1,7.33,2919
2667,Doraemon Movie 04: Nobita no Kaitei Kiganjou,Fantasy,Movie,1,7.33,1168
7261,Mameshiba,Comedy,Special,24,7.33,3085
20877,Music S.T.A.R.T!!,Music,Music,1,7.33,5729
2671,Doraemon Movie 03: Nobita no Daimakyou,Adventure,Movie,1,7.32,1156
12637,Mo Gyutto Love de Sekkinchuu!,Music,Music,1,7.32,6713
12623,Egomama,Music,Music,1,7.29,1471
